category,question
technicalBE,"In as much detail as possible, describe the request-response cycle."
technicalBE,What’s a module in Ruby? What’s the difference between a class and a module? What are some good use cases for modules?
technicalBE,What are a few ways to optimize a Rails application?
technicalBE,What is HTTP and give a brief definition?
technicalBE,What are three tools or strategies you use to prevent shipping unstable code to production?
technicalBE,What’s a background worker? When would we want to use a background worker?
technicalBE,What’s the difference between a session and a cookie?
technicalBE,Explain a git merge workflow vs a git rebase workflow
technicalBE,What’s the difference between authentication and authorization? What tools have you used to set up auth in the past?
technicalBE,What is TDD and give a brief definition?
technicalBE,What does API stand for and how do you define it?
technicalBE,What does it mean to compile code?
technicalBE,Tell me two advantages of testing your code
technicalBE,How would you describe the prototype in Javascript?
technicalBE,Here at Turing you have used two types of testing Minitest and RSpec. Please give your opinion/comparison of the two.
technicalBE,"My production and development environments are using large sets of data. What are some ways to optimize my tests to run quickly, but be thorough?"
technicalBE,What is a Mock vs. a Stub in testing? When would you use each?
technicalBE,What is yield in Ruby? What is it useful for? Give an example of where you would put it.
technicalBE,Describe each of the four fundamental concepts of object-oriented programming.
technicalBE,"An enumerable by any other name still behaves the same. Give the other name for these 3 Ruby enumerables Detect, Select, Collect"
technicalBE,"In as much detail as possible, describe DNS."
technicalBE,What does it mean for a function to be deprecated?
technicalBE,What does CORS stand for and what issue does it address?
technicalBE,What is the difference between synchronous vs. asynchronous?
technicalBE,What is the difference between a function declaration vs a function expression
technicalBE,"In as much detail as possible, tell me about JSON Web Tokens"
behavioral,What made you switch from your prior career into programming?
behavioral,Describe to me the steps you would take to build out a product.
behavioral,Tell me how you solve a problem.
behavioral,Describe your background. How did you get to where you are now? What was your previous career field. What did you like about it? What didn’t you like about it? Why coding?
behavioral,Describe your time at Turing. What worked for you? What didn’t work for you? What was the structure of the program?
behavioral,Describe your teamwork experience in a coding environment. How big of a team did you work with?
behavioral,"A lot of this job will be full-stack. Your experience is largely __ (Back End, Front End). How do you feel like you’d be able to contribute to the team with only that experience? How comfortable are you with getting uncomfortable with a new language?"
behavioral,Describe your coding experience and why you wish to continue?
behavioral,What are you looking for in a company? Why would you want to work here?
behavioral,Describe an example of how you have handled a stressful situation.
behavioral,Have you ever had to switch gears in the middle of a project to get something fixed immediately? How did you react?
behavioral,What is your 100% ideal role for your first web development job?
behavioral,Tell me about a time you had a disagreement with a colleague and how you resolved it.
behavioral,What project of yours are you most proud of and why?
behavioral,"Explain one of the most difficult code problems you’ve had to solve, either on your own authored code, or in contributing to someone else’s."
behavioral,Describe a time when you received feedback that you were surprised by. What did you do with that feedback?
behavioral,Describe a successful idea or project you worked on. What are some of the challenges you had to overcome? What made it a success?
behavioral,"Describe a project that failed, a project you had to give up on or a time you worked really hard on a project and it just didn’t pan out as expected. What happened? How did you make the decisions that you made?"
behavioral,What is your approach to working on a team?
behavioral,What is an area of growth for you?
behavioral,Describe your strengths. How have you seen these in practice as a developer?
behavioral,What is something that your hobbies or interests tell me about you that your resume cannot?
behavioral,Tell me about a time you failed. How did you deal with the situation?
behavioral,Give me an example of a time you were able to be creative with your work. What was exciting or difficult about it?
behavioral,Sometimes it’s just not possible to get everything on your to-do list done. Tell me about a time your responsibilities got a little overwhelming. What did you do?
behavioral,Tell me about a time you set a goal for yourself. How did you go about ensuring that you would meet your objective?
behavioral,Tell me about a time when you had to rely on written communication to get your ideas across to your team.
behavioral,Tell me about a successful presentation you gave and why you think it was a hit.
behavioral,Describe a long-term project that you managed. How did you keep everything moving along in a timely manner?
behavioral,Describe a time when you saw some problem and took the initiative to correct it rather than waiting for someone else to do it.
behavioral,Tell me about a time when you worked under close supervision or extremely loose supervision. How did you handle that?
behavioral,Tell me about a time you needed to get information from someone who wasn’t very responsive. What did you do?
